"Year","COUNTY","GISJOIN","STATE","STATEFP","STATENH","COUNTYFP","COUNTYNH","Population"
1992,"Androscoggin County",NA,NA,NA,NA,NA,NA,104965.8
1993,"Androscoggin County",NA,NA,NA,NA,NA,NA,104819.2
1994,"Androscoggin County",NA,NA,NA,NA,NA,NA,104672.6
1995,"Androscoggin County",NA,NA,NA,NA,NA,NA,104526
1996,"Androscoggin County",NA,NA,NA,NA,NA,NA,104379.4
1997,"Androscoggin County",NA,NA,NA,NA,NA,NA,104232.8
1998,"Androscoggin County",NA,NA,NA,NA,NA,NA,104086.2
1999,"Androscoggin County",NA,NA,NA,NA,NA,NA,103939.6
2000,"Androscoggin County","G2300010","Maine",23,230,1,10,103793
2001,"Androscoggin County",NA,NA,NA,NA,NA,NA,104183.9
2002,"Androscoggin County",NA,NA,NA,NA,NA,NA,104574.8
2003,"Androscoggin County",NA,NA,NA,NA,NA,NA,104965.7
2004,"Androscoggin County",NA,NA,NA,NA,NA,NA,105356.6
2005,"Androscoggin County",NA,NA,NA,NA,NA,NA,105747.5
2006,"Androscoggin County",NA,NA,NA,NA,NA,NA,106138.4
2007,"Androscoggin County",NA,NA,NA,NA,NA,NA,106529.3
2008,"Androscoggin County",NA,NA,NA,NA,NA,NA,106920.2
2009,"Androscoggin County",NA,NA,NA,NA,NA,NA,107311.1
2010,"Androscoggin County","G2300010","Maine",23,230,1,10,107702
2011,"Androscoggin County",NA,NA,NA,NA,NA,NA,108045.7
2012,"Androscoggin County",NA,NA,NA,NA,NA,NA,108389.4
2013,"Androscoggin County",NA,NA,NA,NA,NA,NA,108733.1
2014,"Androscoggin County",NA,NA,NA,NA,NA,NA,109076.8
2015,"Androscoggin County",NA,NA,NA,NA,NA,NA,109420.5
2016,"Androscoggin County",NA,NA,NA,NA,NA,NA,109764.2
2017,"Androscoggin County",NA,NA,NA,NA,NA,NA,110107.9
2018,"Androscoggin County",NA,NA,NA,NA,NA,NA,110451.6
2019,"Androscoggin County",NA,NA,NA,NA,NA,NA,110795.3
2020,"Androscoggin County","G2300010","Maine",23,230,1,10,111139
1950,"Aroostook County","G2300030","Maine",23,230,3,30,96039
1951,"Aroostook County",NA,NA,NA,NA,NA,NA,97041.5
1952,"Aroostook County",NA,NA,NA,NA,NA,NA,98044
1953,"Aroostook County",NA,NA,NA,NA,NA,NA,99046.5
1954,"Aroostook County",NA,NA,NA,NA,NA,NA,100049
1955,"Aroostook County",NA,NA,NA,NA,NA,NA,101051.5
1956,"Aroostook County",NA,NA,NA,NA,NA,NA,102054
1957,"Aroostook County",NA,NA,NA,NA,NA,NA,103056.5
1958,"Aroostook County",NA,NA,NA,NA,NA,NA,104059
1959,"Aroostook County",NA,NA,NA,NA,NA,NA,105061.5
1960,"Aroostook County","G2300030","Maine",23,230,3,30,106064
1961,"Aroostook County",NA,NA,NA,NA,NA,NA,104703.9
1962,"Aroostook County",NA,NA,NA,NA,NA,NA,103343.8
1963,"Aroostook County",NA,NA,NA,NA,NA,NA,101983.7
1964,"Aroostook County",NA,NA,NA,NA,NA,NA,100623.6
1965,"Aroostook County",NA,NA,NA,NA,NA,NA,99263.5
1966,"Aroostook County",NA,NA,NA,NA,NA,NA,97903.4
1967,"Aroostook County",NA,NA,NA,NA,NA,NA,96543.3
1968,"Aroostook County",NA,NA,NA,NA,NA,NA,95183.2
1969,"Aroostook County",NA,NA,NA,NA,NA,NA,93823.1
1970,"Aroostook County","G2300030","Maine",23,230,3,30,92463
1971,"Aroostook County",NA,NA,NA,NA,NA,NA,92349.8
1972,"Aroostook County",NA,NA,NA,NA,NA,NA,92236.6
1973,"Aroostook County",NA,NA,NA,NA,NA,NA,92123.4
1974,"Aroostook County",NA,NA,NA,NA,NA,NA,92010.2
1975,"Aroostook County",NA,NA,NA,NA,NA,NA,91897
1976,"Aroostook County",NA,NA,NA,NA,NA,NA,91783.8
1977,"Aroostook County",NA,NA,NA,NA,NA,NA,91670.6
1978,"Aroostook County",NA,NA,NA,NA,NA,NA,91557.4
1979,"Aroostook County",NA,NA,NA,NA,NA,NA,91444.2
1980,"Aroostook County","G2300030","Maine",23,230,3,30,91331
1981,"Aroostook County",NA,NA,NA,NA,NA,NA,90891.5
1982,"Aroostook County",NA,NA,NA,NA,NA,NA,90452
1983,"Aroostook County",NA,NA,NA,NA,NA,NA,90012.5
1984,"Aroostook County",NA,NA,NA,NA,NA,NA,89573
1985,"Aroostook County",NA,NA,NA,NA,NA,NA,89133.5
1986,"Aroostook County",NA,NA,NA,NA,NA,NA,88694
1987,"Aroostook County",NA,NA,NA,NA,NA,NA,88254.5
1988,"Aroostook County",NA,NA,NA,NA,NA,NA,87815
1989,"Aroostook County",NA,NA,NA,NA,NA,NA,87375.5
1990,"Aroostook County","G2300030","Maine",23,230,3,30,86936
1991,"Aroostook County",NA,NA,NA,NA,NA,NA,85636.2
1992,"Aroostook County",NA,NA,NA,NA,NA,NA,84336.4
1993,"Aroostook County",NA,NA,NA,NA,NA,NA,83036.6
1994,"Aroostook County",NA,NA,NA,NA,NA,NA,81736.8
1995,"Aroostook County",NA,NA,NA,NA,NA,NA,80437
1996,"Aroostook County",NA,NA,NA,NA,NA,NA,79137.2
1997,"Aroostook County",NA,NA,NA,NA,NA,NA,77837.4
1998,"Aroostook County",NA,NA,NA,NA,NA,NA,76537.6
1999,"Aroostook County",NA,NA,NA,NA,NA,NA,75237.8
2000,"Aroostook County","G2300030","Maine",23,230,3,30,73938
2001,"Aroostook County",NA,NA,NA,NA,NA,NA,73731.2
2002,"Aroostook County",NA,NA,NA,NA,NA,NA,73524.4
2003,"Aroostook County",NA,NA,NA,NA,NA,NA,73317.6
2004,"Aroostook County",NA,NA,NA,NA,NA,NA,73110.8
2005,"Aroostook County",NA,NA,NA,NA,NA,NA,72904
2006,"Aroostook County",NA,NA,NA,NA,NA,NA,72697.2
2007,"Aroostook County",NA,NA,NA,NA,NA,NA,72490.4
2008,"Aroostook County",NA,NA,NA,NA,NA,NA,72283.6
2009,"Aroostook County",NA,NA,NA,NA,NA,NA,72076.8
2010,"Aroostook County","G2300030","Maine",23,230,3,30,71870
2011,"Aroostook County",NA,NA,NA,NA,NA,NA,71393.5
2012,"Aroostook County",NA,NA,NA,NA,NA,NA,70917
2013,"Aroostook County",NA,NA,NA,NA,NA,NA,70440.5
2014,"Aroostook County",NA,NA,NA,NA,NA,NA,69964
2015,"Aroostook County",NA,NA,NA,NA,NA,NA,69487.5
2016,"Aroostook County",NA,NA,NA,NA,NA,NA,69011
2017,"Aroostook County",NA,NA,NA,NA,NA,NA,68534.5
2018,"Aroostook County",NA,NA,NA,NA,NA,NA,68058
2019,"Aroostook County",NA,NA,NA,NA,NA,NA,67581.5
2020,"Aroostook County","G2300030","Maine",23,230,3,30,67105
1950,"Cumberland County","G2300050","Maine",23,230,5,50,169201
1951,"Cumberland County",NA,NA,NA,NA,NA,NA,170556
1952,"Cumberland County",NA,NA,NA,NA,NA,NA,171911
1953,"Cumberland County",NA,NA,NA,NA,NA,NA,173266
1954,"Cumberland County",NA,NA,NA,NA,NA,NA,174621
1955,"Cumberland County",NA,NA,NA,NA,NA,NA,175976
1956,"Cumberland County",NA,NA,NA,NA,NA,NA,177331
1957,"Cumberland County",NA,NA,NA,NA,NA,NA,178686
1958,"Cumberland County",NA,NA,NA,NA,NA,NA,180041
1959,"Cumberland County",NA,NA,NA,NA,NA,NA,181396
1960,"Cumberland County","G2300050","Maine",23,230,5,50,182751
1961,"Cumberland County",NA,NA,NA,NA,NA,NA,183728.7
1962,"Cumberland County",NA,NA,NA,NA,NA,NA,184706.4
1963,"Cumberland County",NA,NA,NA,NA,NA,NA,185684.1
1964,"Cumberland County",NA,NA,NA,NA,NA,NA,186661.8
1965,"Cumberland County",NA,NA,NA,NA,NA,NA,187639.5
1966,"Cumberland County",NA,NA,NA,NA,NA,NA,188617.2
1967,"Cumberland County",NA,NA,NA,NA,NA,NA,189594.9
1968,"Cumberland County",NA,NA,NA,NA,NA,NA,190572.6
1969,"Cumberland County",NA,NA,NA,NA,NA,NA,191550.3
1970,"Cumberland County","G2300050","Maine",23,230,5,50,192528
1971,"Cumberland County",NA,NA,NA,NA,NA,NA,194854.1
1972,"Cumberland County",NA,NA,NA,NA,NA,NA,197180.2
1973,"Cumberland County",NA,NA,NA,NA,NA,NA,199506.3
1974,"Cumberland County",NA,NA,NA,NA,NA,NA,201832.4
1975,"Cumberland County",NA,NA,NA,NA,NA,NA,204158.5
1976,"Cumberland County",NA,NA,NA,NA,NA,NA,206484.6
1977,"Cumberland County",NA,NA,NA,NA,NA,NA,208810.7
1978,"Cumberland County",NA,NA,NA,NA,NA,NA,211136.8
1979,"Cumberland County",NA,NA,NA,NA,NA,NA,213462.9
1980,"Cumberland County","G2300050","Maine",23,230,5,50,215789
1981,"Cumberland County",NA,NA,NA,NA,NA,NA,218523.6
1982,"Cumberland County",NA,NA,NA,NA,NA,NA,221258.2
1983,"Cumberland County",NA,NA,NA,NA,NA,NA,223992.8
1984,"Cumberland County",NA,NA,NA,NA,NA,NA,226727.4
1985,"Cumberland County",NA,NA,NA,NA,NA,NA,229462
1986,"Cumberland County",NA,NA,NA,NA,NA,NA,232196.6
1987,"Cumberland County",NA,NA,NA,NA,NA,NA,234931.2
1988,"Cumberland County",NA,NA,NA,NA,NA,NA,237665.8
1989,"Cumberland County",NA,NA,NA,NA,NA,NA,240400.4
1990,"Cumberland County","G2300050","Maine",23,230,5,50,243135
1991,"Cumberland County",NA,NA,NA,NA,NA,NA,245382.7
1992,"Cumberland County",NA,NA,NA,NA,NA,NA,247630.4
1993,"Cumberland County",NA,NA,NA,NA,NA,NA,249878.1
1994,"Cumberland County",NA,NA,NA,NA,NA,NA,252125.8
1995,"Cumberland County",NA,NA,NA,NA,NA,NA,254373.5
1996,"Cumberland County",NA,NA,NA,NA,NA,NA,256621.2
1997,"Cumberland County",NA,NA,NA,NA,NA,NA,258868.9
1998,"Cumberland County",NA,NA,NA,NA,NA,NA,261116.6
1999,"Cumberland County",NA,NA,NA,NA,NA,NA,263364.3
2000,"Cumberland County","G2300050","Maine",23,230,5,50,265612
2001,"Cumberland County",NA,NA,NA,NA,NA,NA,267218.2
2002,"Cumberland County",NA,NA,NA,NA,NA,NA,268824.4
2003,"Cumberland County",NA,NA,NA,NA,NA,NA,270430.6
2004,"Cumberland County",NA,NA,NA,NA,NA,NA,272036.8
2005,"Cumberland County",NA,NA,NA,NA,NA,NA,273643
2006,"Cumberland County",NA,NA,NA,NA,NA,NA,275249.2
2007,"Cumberland County",NA,NA,NA,NA,NA,NA,276855.4
2008,"Cumberland County",NA,NA,NA,NA,NA,NA,278461.6
2009,"Cumberland County",NA,NA,NA,NA,NA,NA,280067.8
2010,"Cumberland County","G2300050","Maine",23,230,5,50,281674
2011,"Cumberland County",NA,NA,NA,NA,NA,NA,283813.5
2012,"Cumberland County",NA,NA,NA,NA,NA,NA,285953
2013,"Cumberland County",NA,NA,NA,NA,NA,NA,288092.5
2014,"Cumberland County",NA,NA,NA,NA,NA,NA,290232
2015,"Cumberland County",NA,NA,NA,NA,NA,NA,292371.5
2016,"Cumberland County",NA,NA,NA,NA,NA,NA,294511
2017,"Cumberland County",NA,NA,NA,NA,NA,NA,296650.5
2018,"Cumberland County",NA,NA,NA,NA,NA,NA,298790
2019,"Cumberland County",NA,NA,NA,NA,NA,NA,300929.5
2020,"Cumberland County","G2300050","Maine",23,230,5,50,303069
1950,"Franklin County","G2300070","Maine",23,230,7,70,20682
1951,"Franklin County",NA,NA,NA,NA,NA,NA,20620.7
1952,"Franklin County",NA,NA,NA,NA,NA,NA,20559.4
1953,"Franklin County",NA,NA,NA,NA,NA,NA,20498.1
1954,"Franklin County",NA,NA,NA,NA,NA,NA,20436.8
1955,"Franklin County",NA,NA,NA,NA,NA,NA,20375.5
1956,"Franklin County",NA,NA,NA,NA,NA,NA,20314.2
1957,"Franklin County",NA,NA,NA,NA,NA,NA,20252.9
1958,"Franklin County",NA,NA,NA,NA,NA,NA,20191.6
1959,"Franklin County",NA,NA,NA,NA,NA,NA,20130.3
1960,"Franklin County","G2300070","Maine",23,230,7,70,20069
1961,"Franklin County",NA,NA,NA,NA,NA,NA,20306.5
1962,"Franklin County",NA,NA,NA,NA,NA,NA,20544
1963,"Franklin County",NA,NA,NA,NA,NA,NA,20781.5
1964,"Franklin County",NA,NA,NA,NA,NA,NA,21019
1965,"Franklin County",NA,NA,NA,NA,NA,NA,21256.5
1966,"Franklin County",NA,NA,NA,NA,NA,NA,21494
1967,"Franklin County",NA,NA,NA,NA,NA,NA,21731.5
1968,"Franklin County",NA,NA,NA,NA,NA,NA,21969
1969,"Franklin County",NA,NA,NA,NA,NA,NA,22206.5
1970,"Franklin County","G2300070","Maine",23,230,7,70,22444
1971,"Franklin County",NA,NA,NA,NA,NA,NA,22909.4
1972,"Franklin County",NA,NA,NA,NA,NA,NA,23374.8
1973,"Franklin County",NA,NA,NA,NA,NA,NA,23840.2
1974,"Franklin County",NA,NA,NA,NA,NA,NA,24305.6
1975,"Franklin County",NA,NA,NA,NA,NA,NA,24771
1976,"Franklin County",NA,NA,NA,NA,NA,NA,25236.4
1977,"Franklin County",NA,NA,NA,NA,NA,NA,25701.8
1978,"Franklin County",NA,NA,NA,NA,NA,NA,26167.2
1979,"Franklin County",NA,NA,NA,NA,NA,NA,26632.6
1980,"Franklin County","G2300070","Maine",23,230,7,70,27098
1981,"Franklin County",NA,NA,NA,NA,NA,NA,27289
1982,"Franklin County",NA,NA,NA,NA,NA,NA,27480
1983,"Franklin County",NA,NA,NA,NA,NA,NA,27671
1984,"Franklin County",NA,NA,NA,NA,NA,NA,27862
1985,"Franklin County",NA,NA,NA,NA,NA,NA,28053
1986,"Franklin County",NA,NA,NA,NA,NA,NA,28244
1987,"Franklin County",NA,NA,NA,NA,NA,NA,28435
1988,"Franklin County",NA,NA,NA,NA,NA,NA,28626
1989,"Franklin County",NA,NA,NA,NA,NA,NA,28817
1990,"Franklin County","G2300070","Maine",23,230,7,70,29008
1991,"Franklin County",NA,NA,NA,NA,NA,NA,29053.9
1992,"Franklin County",NA,NA,NA,NA,NA,NA,29099.8
1993,"Franklin County",NA,NA,NA,NA,NA,NA,29145.7
1994,"Franklin County",NA,NA,NA,NA,NA,NA,29191.6
1995,"Franklin County",NA,NA,NA,NA,NA,NA,29237.5
1996,"Franklin County",NA,NA,NA,NA,NA,NA,29283.4
1997,"Franklin County",NA,NA,NA,NA,NA,NA,29329.3
1998,"Franklin County",NA,NA,NA,NA,NA,NA,29375.2
1999,"Franklin County",NA,NA,NA,NA,NA,NA,29421.1
2000,"Franklin County","G2300070","Maine",23,230,7,70,29467
2001,"Franklin County",NA,NA,NA,NA,NA,NA,29597.1
2002,"Franklin County",NA,NA,NA,NA,NA,NA,29727.2
2003,"Franklin County",NA,NA,NA,NA,NA,NA,29857.3
2004,"Franklin County",NA,NA,NA,NA,NA,NA,29987.4
2005,"Franklin County",NA,NA,NA,NA,NA,NA,30117.5
2006,"Franklin County",NA,NA,NA,NA,NA,NA,30247.6
2007,"Franklin County",NA,NA,NA,NA,NA,NA,30377.7
2008,"Franklin County",NA,NA,NA,NA,NA,NA,30507.8
2009,"Franklin County",NA,NA,NA,NA,NA,NA,30637.9
2010,"Franklin County","G2300070","Maine",23,230,7,70,30768
2011,"Franklin County",NA,NA,NA,NA,NA,NA,30636.8
2012,"Franklin County",NA,NA,NA,NA,NA,NA,30505.6
2013,"Franklin County",NA,NA,NA,NA,NA,NA,30374.4
2014,"Franklin County",NA,NA,NA,NA,NA,NA,30243.2
2015,"Franklin County",NA,NA,NA,NA,NA,NA,30112
2016,"Franklin County",NA,NA,NA,NA,NA,NA,29980.8
2017,"Franklin County",NA,NA,NA,NA,NA,NA,29849.6
2018,"Franklin County",NA,NA,NA,NA,NA,NA,29718.4
2019,"Franklin County",NA,NA,NA,NA,NA,NA,29587.2
2020,"Franklin County","G2300070","Maine",23,230,7,70,29456
1950,"Hancock County","G2300090","Maine",23,230,9,90,32105
1951,"Hancock County",NA,NA,NA,NA,NA,NA,32123.8
1952,"Hancock County",NA,NA,NA,NA,NA,NA,32142.6
1953,"Hancock County",NA,NA,NA,NA,NA,NA,32161.4
1954,"Hancock County",NA,NA,NA,NA,NA,NA,32180.2
1955,"Hancock County",NA,NA,NA,NA,NA,NA,32199
1956,"Hancock County",NA,NA,NA,NA,NA,NA,32217.8
1957,"Hancock County",NA,NA,NA,NA,NA,NA,32236.6
1958,"Hancock County",NA,NA,NA,NA,NA,NA,32255.4
1959,"Hancock County",NA,NA,NA,NA,NA,NA,32274.2
1960,"Hancock County","G2300090","Maine",23,230,9,90,32293
1961,"Hancock County",NA,NA,NA,NA,NA,NA,32522.7
1962,"Hancock County",NA,NA,NA,NA,NA,NA,32752.4
1963,"Hancock County",NA,NA,NA,NA,NA,NA,32982.1
1964,"Hancock County",NA,NA,NA,NA,NA,NA,33211.8
1965,"Hancock County",NA,NA,NA,NA,NA,NA,33441.5
1966,"Hancock County",NA,NA,NA,NA,NA,NA,33671.2
1967,"Hancock County",NA,NA,NA,NA,NA,NA,33900.9
1968,"Hancock County",NA,NA,NA,NA,NA,NA,34130.6
1969,"Hancock County",NA,NA,NA,NA,NA,NA,34360.3
1970,"Hancock County","G2300090","Maine",23,230,9,90,34590
1971,"Hancock County",NA,NA,NA,NA,NA,NA,35309.1
1972,"Hancock County",NA,NA,NA,NA,NA,NA,36028.2
1973,"Hancock County",NA,NA,NA,NA,NA,NA,36747.3
1974,"Hancock County",NA,NA,NA,NA,NA,NA,37466.4
1975,"Hancock County",NA,NA,NA,NA,NA,NA,38185.5
1976,"Hancock County",NA,NA,NA,NA,NA,NA,38904.6
1977,"Hancock County",NA,NA,NA,NA,NA,NA,39623.7
1978,"Hancock County",NA,NA,NA,NA,NA,NA,40342.8
1979,"Hancock County",NA,NA,NA,NA,NA,NA,41061.9
1980,"Hancock County","G2300090","Maine",23,230,9,90,41781
1981,"Hancock County",NA,NA,NA,NA,NA,NA,42297.7
1982,"Hancock County",NA,NA,NA,NA,NA,NA,42814.4
1983,"Hancock County",NA,NA,NA,NA,NA,NA,43331.1
1984,"Hancock County",NA,NA,NA,NA,NA,NA,43847.8
1985,"Hancock County",NA,NA,NA,NA,NA,NA,44364.5
1986,"Hancock County",NA,NA,NA,NA,NA,NA,44881.2
1987,"Hancock County",NA,NA,NA,NA,NA,NA,45397.9
1988,"Hancock County",NA,NA,NA,NA,NA,NA,45914.6
1989,"Hancock County",NA,NA,NA,NA,NA,NA,46431.3
1990,"Hancock County","G2300090","Maine",23,230,9,90,46948
1991,"Hancock County",NA,NA,NA,NA,NA,NA,47432.3
1992,"Hancock County",NA,NA,NA,NA,NA,NA,47916.6
1993,"Hancock County",NA,NA,NA,NA,NA,NA,48400.9
1994,"Hancock County",NA,NA,NA,NA,NA,NA,48885.2
1995,"Hancock County",NA,NA,NA,NA,NA,NA,49369.5
1996,"Hancock County",NA,NA,NA,NA,NA,NA,49853.8
1997,"Hancock County",NA,NA,NA,NA,NA,NA,50338.1
1998,"Hancock County",NA,NA,NA,NA,NA,NA,50822.4
1999,"Hancock County",NA,NA,NA,NA,NA,NA,51306.7
2000,"Hancock County","G2300090","Maine",23,230,9,90,51791
2001,"Hancock County",NA,NA,NA,NA,NA,NA,52053.7
2002,"Hancock County",NA,NA,NA,NA,NA,NA,52316.4
2003,"Hancock County",NA,NA,NA,NA,NA,NA,52579.1
2004,"Hancock County",NA,NA,NA,NA,NA,NA,52841.8
2005,"Hancock County",NA,NA,NA,NA,NA,NA,53104.5
2006,"Hancock County",NA,NA,NA,NA,NA,NA,53367.2
2007,"Hancock County",NA,NA,NA,NA,NA,NA,53629.9
2008,"Hancock County",NA,NA,NA,NA,NA,NA,53892.6
2009,"Hancock County",NA,NA,NA,NA,NA,NA,54155.3
2010,"Hancock County","G2300090","Maine",23,230,9,90,54418
2011,"Hancock County",NA,NA,NA,NA,NA,NA,54524
2012,"Hancock County",NA,NA,NA,NA,NA,NA,54630
2013,"Hancock County",NA,NA,NA,NA,NA,NA,54736
2014,"Hancock County",NA,NA,NA,NA,NA,NA,54842
2015,"Hancock County",NA,NA,NA,NA,NA,NA,54948
2016,"Hancock County",NA,NA,NA,NA,NA,NA,55054
2017,"Hancock County",NA,NA,NA,NA,NA,NA,55160
2018,"Hancock County",NA,NA,NA,NA,NA,NA,55266
2019,"Hancock County",NA,NA,NA,NA,NA,NA,55372
2020,"Hancock County","G2300090","Maine",23,230,9,90,55478
1950,"Kennebec County","G2300110","Maine",23,230,11,110,83881
1951,"Kennebec County",NA,NA,NA,NA,NA,NA,84407.9
1952,"Kennebec County",NA,NA,NA,NA,NA,NA,84934.8
1953,"Kennebec County",NA,NA,NA,NA,NA,NA,85461.7
1954,"Kennebec County",NA,NA,NA,NA,NA,NA,85988.6
1955,"Kennebec County",NA,NA,NA,NA,NA,NA,86515.5
1956,"Kennebec County",NA,NA,NA,NA,NA,NA,87042.4
1957,"Kennebec County",NA,NA,NA,NA,NA,NA,87569.3
1958,"Kennebec County",NA,NA,NA,NA,NA,NA,88096.2
1959,"Kennebec County",NA,NA,NA,NA,NA,NA,88623.1
1960,"Kennebec County","G2300110","Maine",23,230,11,110,89150
1961,"Kennebec County",NA,NA,NA,NA,NA,NA,89759.7
1962,"Kennebec County",NA,NA,NA,NA,NA,NA,90369.4
1963,"Kennebec County",NA,NA,NA,NA,NA,NA,90979.1
1964,"Kennebec County",NA,NA,NA,NA,NA,NA,91588.8
1965,"Kennebec County",NA,NA,NA,NA,NA,NA,92198.5
1966,"Kennebec County",NA,NA,NA,NA,NA,NA,92808.2
1967,"Kennebec County",NA,NA,NA,NA,NA,NA,93417.9
1968,"Kennebec County",NA,NA,NA,NA,NA,NA,94027.6
1969,"Kennebec County",NA,NA,NA,NA,NA,NA,94637.3
1970,"Kennebec County","G2300110","Maine",23,230,11,110,95247
1971,"Kennebec County",NA,NA,NA,NA,NA,NA,96711.2
1972,"Kennebec County",NA,NA,NA,NA,NA,NA,98175.4
1973,"Kennebec County",NA,NA,NA,NA,NA,NA,99639.6
1974,"Kennebec County",NA,NA,NA,NA,NA,NA,101103.8
1975,"Kennebec County",NA,NA,NA,NA,NA,NA,102568
1976,"Kennebec County",NA,NA,NA,NA,NA,NA,104032.2
1977,"Kennebec County",NA,NA,NA,NA,NA,NA,105496.4
1978,"Kennebec County",NA,NA,NA,NA,NA,NA,106960.6
1979,"Kennebec County",NA,NA,NA,NA,NA,NA,108424.8
1980,"Kennebec County","G2300110","Maine",23,230,11,110,109889
1981,"Kennebec County",NA,NA,NA,NA,NA,NA,110490.5
1982,"Kennebec County",NA,NA,NA,NA,NA,NA,111092
1983,"Kennebec County",NA,NA,NA,NA,NA,NA,111693.5
1984,"Kennebec County",NA,NA,NA,NA,NA,NA,112295
1985,"Kennebec County",NA,NA,NA,NA,NA,NA,112896.5
1986,"Kennebec County",NA,NA,NA,NA,NA,NA,113498
1987,"Kennebec County",NA,NA,NA,NA,NA,NA,114099.5
1988,"Kennebec County",NA,NA,NA,NA,NA,NA,114701
1989,"Kennebec County",NA,NA,NA,NA,NA,NA,115302.5
1990,"Kennebec County","G2300110","Maine",23,230,11,110,115904
1991,"Kennebec County",NA,NA,NA,NA,NA,NA,116025
1992,"Kennebec County",NA,NA,NA,NA,NA,NA,116146
1993,"Kennebec County",NA,NA,NA,NA,NA,NA,116267
1994,"Kennebec County",NA,NA,NA,NA,NA,NA,116388
1995,"Kennebec County",NA,NA,NA,NA,NA,NA,116509
1996,"Kennebec County",NA,NA,NA,NA,NA,NA,116630
1997,"Kennebec County",NA,NA,NA,NA,NA,NA,116751
1998,"Kennebec County",NA,NA,NA,NA,NA,NA,116872
1999,"Kennebec County",NA,NA,NA,NA,NA,NA,116993
2000,"Kennebec County","G2300110","Maine",23,230,11,110,117114
2001,"Kennebec County",NA,NA,NA,NA,NA,NA,117617.7
2002,"Kennebec County",NA,NA,NA,NA,NA,NA,118121.4
2003,"Kennebec County",NA,NA,NA,NA,NA,NA,118625.1
2004,"Kennebec County",NA,NA,NA,NA,NA,NA,119128.8
2005,"Kennebec County",NA,NA,NA,NA,NA,NA,119632.5
2006,"Kennebec County",NA,NA,NA,NA,NA,NA,120136.2
2007,"Kennebec County",NA,NA,NA,NA,NA,NA,120639.9
2008,"Kennebec County",NA,NA,NA,NA,NA,NA,121143.6
2009,"Kennebec County",NA,NA,NA,NA,NA,NA,121647.3
2010,"Kennebec County","G2300110","Maine",23,230,11,110,122151
2011,"Kennebec County",NA,NA,NA,NA,NA,NA,122300.1
2012,"Kennebec County",NA,NA,NA,NA,NA,NA,122449.2
2013,"Kennebec County",NA,NA,NA,NA,NA,NA,122598.3
